Data_OEE_ALL_Date,Data_OEE_ALL_Project,Data_OEE_ALL_Team,Data_OEE_ALL_OEE,Data_OEE_ALL_OEE_J1_G4,Data_OEE_ALL_Performance,Data_OEE_ALL_Availability,Data_OEE_ALL_Availability_J1_G4,Data_OEE_ALL_Quality,Data_OEE_ALL_Planned_DT,Data_OEE_ALL_Unplanned_DT,Data_OEE_ALL_UPD_J1_G4_,Data_OEE_ALL_Scrap_m,Data_OEE_ALL_DT_h,Data_OEE_ALL_Standard_Time_h,Data_OEE_ALL_Set_upTime,Data_OEE_ALL_Quantity_Psc,Data_OEE_ALL_Batch_size_Pcs
3/2/2023 12:00:00 AM,SysApp,Mouguina,0.2498,0.515,0.6738,0.3707,0.7643,0.9959,0.07,0.5591,0.0909,222.516,65.45,25.98,3.02,67420,888
3/2/2023 12:00:00 AM,SysApp,Riahi,0.2298,0.4769,0.7112,0.3231,0.6705,0.9959,0.091,0.5864,0.1416,236.78,70.4,23.9,6.71,57305,1170
3/3/2023 12:00:00 AM,CV,AKIL,0.2325,0.2878,0.6559,0.3544,0.4387,0.9978,0.33,0.3156,0.1527,110.968,46.48,16.74,4.17,43144,166
3/3/2023 12:00:00 AM,CV,BOUFDILI,0.2475,0.2727,0.6244,0.3964,0.4367,0.9969,0.401,0.2029,0.1218,203.37,43.46,17.82,3.61,44143,141
3/3/2023 12:00:00 AM,CV,OMAR,0.2313,0.2688,0.6348,0.3644,0.4234,0.9961,0.323,0.3121,0.2007,171.279,45.76,16.65,3.21,41736,149
3/3/2023 12:00:00 AM,PSA,PSA 1,0.2532,0.3278,0.6915,0.3662,0.4741,0.9971,0.235,0.399,0.222,1080.4,273.8,109.4,9.88,218774,499
3/3/2023 12:00:00 AM,PSA,PSA 2,0.2845,0.4033,0.7327,0.3883,0.5505,0.9977,0.192,0.42,0.1778,979.935,264.25,122.91,7.67,261200,627
3/3/2023 12:00:00 AM,PSA,PSA 3,0.229,0.3285,0.7146,0.3204,0.4597,0.995,0.21,0.4694,0.2388,1455.145,293.58,98.91,8.25,222053,547
3/3/2023 12:00:00 AM,SysApp,Mouguina,0.24,0.5567,0.6876,0.3491,0.8097,0.9959,0.048,0.6027,0.0785,158.894,67.69,24.96,3.31,63254,1346
3/3/2023 12:00:00 AM,SysApp,Riahi,0.2551,0.5558,0.7194,0.3547,0.7726,0.9995,0.087,0.5586,0.0385,25.5,67.11,26.53,5.26,65408,1283
3/4/2023 12:00:00 AM,CV,AKIL,0.2306,0.2986,0.6901,0.3342,0.4327,0.9969,0.336,0.3302,0.1326,180.521,47.94,16.6,3.91,40513,152
3/4/2023 12:00:00 AM,PSA,PSA 3,0.2042,0.3033,0.6567,0.3109,0.4619,0.9961,0.216,0.4728,0.2167,1630.01,297.7,88.2,8.46,200697,484
3/4/2023 12:00:00 AM,SysApp,Mouguina,0.2672,0.5505,0.6757,0.3954,0.8148,0.9979,0.06,0.545,0.0624,126.289,62.88,27.79,3.5,71501,1255
3/5/2023 12:00:00 AM,CV,AKIL,0.2613,0.3436,0.6184,0.4226,0.5556,0.997,0.23,0.3478,0.1426,159.225,41.57,18.82,2.89,50957,201
3/5/2023 12:00:00 AM,PSA,PSA 3,0.2752,0.3879,0.7403,0.3717,0.5239,0.9967,0.198,0.43,0.1966,1954.77,271.41,118.89,8.36,252724,699
3/6/2023 12:00:00 AM,CV,AKIL,0.2874,0.3473,0.705,0.4077,0.4926,0.9993,0.293,0.2997,0.1539,36.114,42.64,20.7,4.69,52937,275
3/6/2023 12:00:00 AM,CV,BOUFDILI,0.3299,0.3693,0.6995,0.4716,0.528,0.9971,0.319,0.2092,0.1147,172.795,38.04,23.75,4.1,60343,238
3/6/2023 12:00:00 AM,CV,OMAR,0.2378,0.2465,0.6726,0.3536,0.3664,0.9976,0.351,0.2956,0.2701,140.86,46.54,17.12,4.75,42527,200
3/6/2023 12:00:00 AM,PSA,PSA 1,0.2741,0.3308,0.6822,0.4019,0.4849,0.9934,0.236,0.3621,0.2304,2914.565,258.39,118.43,10.33,246591,628
3/6/2023 12:00:00 AM,PSA,PSA 2,0.2639,0.3467,0.7052,0.3742,0.4915,0.9969,0.223,0.403,0.2159,1364.895,270.32,114.02,11.63,222388,594
3/6/2023 12:00:00 AM,PSA,PSA 3,0.294,0.3581,0.7173,0.4099,0.4992,0.9963,0.254,0.3357,0.191,2309.61,254.91,127.02,10.49,263783,657
